id_intencao,palavras_chave,tipo_resposta,resposta_padrao,pergunta_followup
saudacao,"olá,ola,bom dia,boa tarde,boa noite,boa madrugada,oi,oii,oie,eae,eai,ei,hello,hi,tudo bem,tudo certo,beleza,blz",direta,Olá! Tudo bem? Sou o assistente do setor de produção. Em que posso te ajudar hoje?,
despedida,"até logo,tchau,até mais,obrigado,obrigada,valeu,grato,grata,vlw,flw,abraço,tmj,era só isso,era so isso,resolvido,até a próxima",direta,"Foi um prazer ajudar! Se precisar de mais alguma coisa, é só chamar.",
qualidade,"qualidade,original,originais,falso,falsa,falsificado,falsificada,durabilidade,durável,duravel,resistente,resistência,rasga,rasgar,rouba boa,roupa barata,desbota,desbotar,aguenta lavagem,lavagens",direta,"Por ser um produto original, asseguramos a longa durabilidade do item e a qualidade do material.",
personalizacao,"personalizar,personalizada,personalizado,personalização,personalizacao,customizar,customização,customizacao,estampa,estampar,estamparia,bordar,bordado,gravar nome,minha arte,minha logo,logo da empresa,escolher cor,escolher botão",direta,"Sim, oferecemos personalização! O cliente pode escolher tamanho, cor e estampa da peça. Para iniciar uma personalização, é necessário consultar prazos e valores adicionais com o setor de vendas.",
sustentabilidade,"sustentabilidade,sustentável,sustentaveis,sustentaveis,ecológico,ecologico,meio ambiente,meio-ambiente,natureza,poluição,poluicao,reciclam,reciclagem,sobras de tecido,desperdício,desperdicio,algodão orgânico,algodao organico,vegano,vegana",direta,"Sustentabilidade é um pilar do nosso processo. Priorizamos o uso consciente dos recursos naturais, reduzimos desperdício no corte e aproveitamos ao máximo os tecidos. Também buscamos fornecedores alinhados a práticas responsáveis.",
manutencao,"manutenção,cuidados,precaução,lavagem,lavar,cuidar,cuido,conservar,cuidado,manusear,manusea,lavagem a mao,lavagem na maquina,lavagem a Seco,manutencao,manutenco",guiada,,Qual é o tipo de tecido da sua peça? Responda com uma das opções: algodão / linho / seda / sintético / lã
producao,"produzem,produção,producao,produçao,como produzem,como é feito,como e feito,fabricam,fabricação,fabricacao,confecção,confeccionam,processo,etapas de produção,onde é feito,onde e feito,fábrica,fabrica",direta,"Nossa produção é organizada em etapas: modelagem, corte, costura, acabamento e controle de qualidade. Trabalhamos tanto com estoque de peças padronizadas quanto sob demanda para reduzir desperdício e garantir que cada peça receba atenção no processo.",
tipo_de_produto,"tipo de produto,quais produtos,o que vocês fazem,o que voces fazem,o que vocês produzem,catálogo,catalogo,linha,linha de produtos,moletom,roupa íntima,roupa intima,moda infantil,fantasia,uniforme,uniformes,vestido,calça,camiseta,bermuda,short,blusa,regata,jaqueta,casaco,agasalho,meia,cueca,sutiã,pijama,camisa,camisas,roupas,roupa",direta,Trabalhamos com diversas categorias de vestuário. Para mais informações sobre o catálogo entre em contato com (setor vendas). Posso te ajudar em algo mais?,
sugestao_produto,"oferecem,sugestão,sugestao,sugere,sugerir,recomenda,recomendação,recomendacao,indica,indicação,indicacao,me indica,me sugere,o que vocês têm,o que voces tem,qual tecido,que tecido,sugestão de tecido,recomenda tecido,indica tecido,melhor tecido,tecido ideal,tecido para,me recomenda,me indicaria,qual você recomenda,qual me recomenda,qual camiseta,me recomendaria,qual escolher,qual escolheria,me ajuda a escolher",guiada,,"Para te indicar a melhor opção, me conta: qual o tipo de ocasião? Responda com uma das opções: casual / esporte / festa / trabalho / uniforme"
tecidos,"tecido,tecidos,pano,panos,fibra,tipo de tecido,quais tecidos,couro,algodão,algodao,cotton,linho,lino,linen,seda,silk,cetim,sintético,sintetico,sinteticos,sintéticos,poliéster,poliester,nylon,elastano,viscose,lã,la,lana,wool,cashmere",direta,"Trabalhamos com diferentes tipos de tecido, cada um com características próprias de toque, durabilidade e cuidado. Qual o tipo de informação você gostaria de saber sobre? Manutenção / Qualidade / Disponibilidade",
disponibilidade_materiais,"disponibilidade,disponível,disponivel,matéria-prima,material,materiais,materia prima,matéria prima,reposição,reposicao,esgotou,acabou o tecido,tem em estoque",direta,A disponibilidade dos materiais é controlada pelo setor de almoxarifado. Posso encaminhar sua consulta para confirmação. Deseja algo mais?,
setor_almoxarifado,"almoxarifado,estoque,estocado,estocados,estocagem",direta,"Para informações sobre estoque e disponibilidade de materiais, encaminhe sua dúvida para o chatbot do almoxarifado.",
setor_vendas,"comprar,compra,compras,vender,venda,vendas,preço,preco,preços,precos,valor,valores,custa,custo,quanto custa,tabela de preços,pagamento,pagar,pix,cartão,cartao,boleto,parcelar,parcela,parcelado,à vista,a vista,desconto,promoção,promocao,caro,tá caro,ta caro",direta,"Para informações sobre compras, valores e formas de pagamento, encaminhe sua dúvida para o chatbot de vendas.",
setor_compras,"fornecedor,fornecedores,setor de compras,área de compras,area de compras,aquisição,aquisicao,comprar material",direta,"Para assuntos relacionados a fornecedores e aquisição de matéria-prima, encaminhe sua dúvida para o chatbot de compras.",
setor_logistica,"encomendei,encomenda,encomendado,entrega,entregando,entregam,envio,envios,enviado,enviados,frete,transportadora,prazo de entrega,região de entrega,regiao de entrega,exterior,exportação,exportacao,rastreamento,rastrear,rastreio,rastreando",direta,"Para informações sobre prazos de entrega, rastreamento e envio, encaminhe sua dúvida para o chatbot de logística.",
setor_devolucao,"devolução,devolucao,devoluçao,devolver,devolve,troca,trocar,defeito,veio errado,tamanho errado,garantia,veio com defeito,problema com a peça",direta,"Para solicitações de troca ou devolução, encaminhe sua dúvida para o chatbot de devoluções.",
mais_informacoes,"quero saber mais,saber mais,mais informações,mais informacoes,mais infos,mais info,gostaria de saber mais sobre,poderia me dizer mais,me explica mais,detalhes,me detalha",direta,"Claro! Posso te dar mais detalhes sobre: produção, tecidos, personalização, qualidade, sustentabilidade, manutenção das peças e etapas do pedido. Sobre qual desses temas você quer saber mais?",
etapas,"início,inicio,término,termino,etapas,etapa,em qual etapa,andamento,status do pedido,status,alterar pedido,mudar pedido,modificar pedido,já saiu da produção",direta,"Trabalhamos com uma linha de produção sequencial e bem definida. Por questões de processo, não é possível alterar o pedido depois que a produção iniciou, nem informar em qual etapa específica ele se encontra. Para previsão de conclusão, consulte o setor de logística.",
previsão,"previsão,previsao,previzao,prazo,prazos,quando fica pronto,quando chega,quanto tempo,quantos dias,prazo de produção,tempo de produção",direta,"O prazo médio de produção é de 15 a 30 dias úteis, podendo variar conforme a complexidade do pedido e a disponibilidade dos materiais. Para um prazo específico do seu pedido, consulte o setor de logística.",
